-0.343537;
-0.402636;
-0.416408;
-0.383917;
-0.307375;
-0.191996;
-0.045639;
-0.34427;
-0.403753;
-0.4179;
-0.385747;
-0.309484;
-0.194307;
-0.048059;
-0.345123;
-0.404989;
-0.419506;
-0.387686;
-0.311695;
-0.196711;
-0.050563;
-0.346095;
-0.406344;
-0.421228;
-0.389734;
-0.314007;
-0.199206;
-0.05315;
-0.347186;
-0.407815;
-0.423062;
-0.391889;
-0.316419;
-0.201792;
-0.055817;
-0.348396;
-0.409404;
-0.42501;
-0.39415;
-0.318927;
-0.204466;
-0.058562;
-0.349724;
-0.411108;
-0.427068;
-0.396515;
-0.321532;
-0.207226;
-0.061384;
-0.35117;
-0.412928;
-0.429235;
-0.398983;
-0.324231;
-0.210072;
-0.064281;
-0.352732;
-0.414861;
-0.431512;
-0.401552;
-0.327022;
-0.212999;
-0.067251;
-0.354411;
-0.416907;
-0.433895;
-0.40422;
-0.329904;
-0.216008;
-0.070292;
-0.356206;
-0.419064;
-0.436384;
-0.406986;
-0.332874;
-0.219095;
-0.073403;
-0.358115;
-0.421332;
-0.438977;
-0.409849;
-0.335931;
-0.22226;
-0.07658;
-0.360138;
-0.42371;
-0.441673;
-0.412805;
-0.339072;
-0.225499;
-0.079822;
-0.362273;
-0.426195;
-0.444469;
-0.415854;
-0.342297;
-0.228811;
-0.083128;
-0.36452;
-0.428786;
-0.447365;
-0.418993;
-0.345602;
-0.232193;
-0.086494;
-0.366878;
-0.431482;
-0.450358;
-0.42222;
-0.348985;
-0.235645;
-0.08992;
-0.369344;
-0.434282;
-0.453447;
-0.425534;
-0.352446;
-0.239162;
-0.093403;
-0.371919;
-0.437184;
-0.456629;
-0.428932;
-0.35598;
-0.242744;
-0.096941;
-0.3746;
-0.440186;
-0.459904;
-0.432413;
-0.359587;
-0.246389;
-0.100532;
-0.377387;
-0.443286;
-0.463268;
-0.435974;
-0.363264;
-0.250093;
-0.104174;
-0.380277;
-0.446483;
-0.46672;
-0.439612;
-0.367008;
-0.253855;
-0.107864;
-0.38327;
-0.449774;
-0.470258;
-0.443327;
-0.370818;
-0.257673;
